#Name	Code
Arsenal FC	ARS
Aston Villa	AST
AFC Bournemouth	BOU
Brighton & Hove Albion	BHA
Burnley FC	BUR
Chelsea FC	CHE
Crystal Palace	CPA
Everton FC	EVE
Leicester City	LEI
Liverpool FC	LIV
Manchester City	MCI
Manchester United	MUN
Newcastle United	NEW
Norwich City	NOR
Sheffield United	SHE
Southampton FC	SOU
Tottenham Hotspur	TOT
Watford FC	WAT
West Ham United	WHU
Wolverhampton	WOL
#Home code	Home score	Visitor code	Visitor score
NOR	2	ARS	2
NOR	1	AST	5
NOR	1	BOU	0
NOR	0	BHA	1
NOR	0	BUR	2
NOR	2	CHE	3
NOR	1	CPA	1
NOR	0	EVE	1
NOR	1	LEI	0
NOR	0	LIV	1
NOR	3	MCI	2
NOR	1	MUN	3
NOR	3	NEW	1
NOR	1	SHE	2
NOR	0	SOU	3
NOR	2	TOT	2
NOR	0	WAT	2
NOR	0	WHU	4
NOR	1	WOL	2
SHE	1	ARS	0
SHE	2	AST	0
SHE	2	BOU	1
SHE	1	BHA	1
SHE	3	BUR	0
SHE	3	CHE	0
SHE	1	CPA	0
SHE	0	EVE	1
SHE	1	LEI	2
SHE	0	LIV	1
SHE	0	MCI	1
SHE	3	MUN	3
SHE	0	NEW	2
SHE	1	NOR	0
SHE	0	SOU	1
SHE	3	TOT	1
SHE	1	WAT	1
SHE	1	WHU	0
SHE	1	WOL	0
SOU	0	ARS	2
SOU	2	AST	0
SOU	1	BOU	3
SOU	1	BHA	1
SOU	1	BUR	2
SOU	1	CHE	4
SOU	1	CPA	1
SOU	1	EVE	2
SOU	0	LEI	9
SOU	1	LIV	2
SOU	1	MCI	0
SOU	1	MUN	1
SOU	0	NEW	1
SOU	2	NOR	1
SOU	3	SHE	1
SOU	1	TOT	0
SOU	2	WAT	1
SOU	0	WHU	1
SOU	2	WOL	3
TOT	2	ARS	1
TOT	3	AST	1
TOT	3	BOU	2
TOT	2	BHA	1
TOT	5	BUR	0
TOT	0	CHE	2
TOT	4	CPA	0
TOT	1	EVE	0
TOT	3	LEI	0
TOT	0	LIV	1
TOT	2	MCI	0
TOT	1	MUN	1
TOT	0	NEW	1
TOT	2	NOR	1
TOT	1	SHE	1
TOT	2	SOU	1
TOT	1	WAT	1
TOT	2	WHU	0
TOT	2	WOL	3
WAT	2	ARS	2
WAT	3	AST	0
WAT	0	BOU	0
WAT	0	BHA	3
WAT	0	BUR	3
WAT	1	CHE	2
WAT	0	CPA	0
WAT	2	EVE	3
WAT	1	LEI	1
WAT	3	LIV	0
WAT	0	MCI	4
WAT	2	MUN	0
WAT	2	NEW	1
WAT	2	NOR	1
WAT	0	SHE	0
WAT	1	SOU	3
WAT	0	TOT	0
WAT	1	WHU	3
WAT	2	WOL	1
WHU	1	ARS	3
WHU	1	AST	1
WHU	4	BOU	0
WHU	3	BHA	3
WHU	0	BUR	1
WHU	3	CHE	2
WHU	1	CPA	2
WHU	1	EVE	1
WHU	1	LEI	2
WHU	0	LIV	2
WHU	0	MCI	5
WHU	2	MUN	0
WHU	2	NEW	3
WHU	2	NOR	0
WHU	1	SHE	1
WHU	3	SOU	1
WHU	2	TOT	3
WHU	3	WAT	1
WHU	0	WOL	2
WOL	0	ARS	2
WOL	2	AST	1
WOL	1	BOU	0
WOL	0	BHA	0
WOL	1	BUR	1
WOL	2	CHE	5
WOL	2	CPA	0
WOL	3	EVE	0
WOL	0	LEI	0
WOL	1	LIV	2
WOL	3	MCI	2
WOL	1	MUN	1
WOL	1	NEW	1
WOL	3	NOR	0
WOL	1	SHE	1
WOL	1	SOU	1
WOL	1	TOT	2
WOL	2	WAT	0
WOL	2	WHU	0
